title,article_id,ai4epi_fulltext_decision
Infidelity of SARS-CoV Nsp14-Exonuclease Mutant Virus Replication Is Revealed by Complete Genome Sequencing,PMID_20463816,EXCLUDE
Epidemiological determinants of spread of causal agent of severe acute respiratory syndrome in Hong Kong,PMID_12781533,INCLUDE
Inhibition of NF-κB-Mediated Inflammation in Severe Acute Respiratory Syndrome Coronavirus-Infected Mice Increases Survival,PMID_24198408,EXCLUDE
Middle East Respiratory Syndrome Coronavirus: Another Zoonotic Betacoronavirus Causing SARS-Like Disease,PMID_25810418,EXCLUDE
"SARS outbreaks in Ontario, Hong Kong and Singapore: the role of diagnosis and isolation as a control mechanism",DOI_52ef46e4b577,INCLUDE
Psychological impact of the 2003 severe acute respiratory syndrome outbreak on health care workers in a medium size regional general hospital in Singapore,PMID_15133143,INCLUDE
Severe Acute Respiratory Syndrome Coronavirus as an Agent of Emerging and Reemerging Infection,PMID_17934078,EXCLUDE
Why Did Outbreaks of Severe Acute Respiratory Syndrome Occur in Some Hospital Wards but Not in Others?,DOI_d3dbc75d76bf,INCLUDE
Preliminary prediction of the basic reproduction number of the Wuhan novel coronavirus 2019‐nCoV,PMID_32048815,EXCLUDE
"The SARS outbreak in a general hospital in Tianjin, China – the case of super-spreader",PMID_16371174,INCLUDE
The 2019‐new coronavirus epidemic: Evidence for virus evolution,PMID_31994738,EXCLUDE
Depression after exposure to stressful events: lessons learned from the severe acute respiratory syndrome epidemic,PMID_21489421,EXCLUDE
Understanding the Spatial Clustering of Severe Acute Respiratory Syndrome (SARS) in Hong Kong,PMID_15531441,INCLUDE
Dysregulated Type I Interferon and Inflammatory Monocyte-Macrophage Responses Cause Lethal Pneumonia in SARS-CoV-Infected Mice,PMID_26867177,EXCLUDE
Perspectives on the basic reproductive ratio,PMID_16849186,EXCLUDE
Assessing impacts of SARS and Avian Flu on international tourism demand to Asia,PMID_32287724,EXCLUDE
The Pathology and Pathogenesis of Experimental Severe Acute Respiratory Syndrome and Influenza in Animal Models,PMID_24581932,EXCLUDE
Epidemiological and genetic analysis of severe acute respiratory syndrome,PMID_15522679,INCLUDE
Bayesian Reconstruction of Disease Outbreaks by Combining Epidemiologic and Genomic Data,PMID_24465202,INCLUDE
Transmission of SARS and MERS coronaviruses and influenza virus in healthcare settings: the possible role of dry surface contamination,PMID_26597631,EXCLUDE
Epidemic and Emerging Coronaviruses (Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome),PMID_28159163,EXCLUDE
Curtailing transmission of severe acute respiratory syndrome within a community and its hospital,PMID_14561285,INCLUDE
Impact of quarantine on the 2003 SARS outbreak: A retrospective modeling study,PMID_17055533,INCLUDE
Macaque Model for Severe Acute Respiratory Syndrome,DOI_1e0421f0c299,EXCLUDE
Sex-Based Differences in Susceptibility to Severe Acute Respiratory Syndrome Coronavirus Infection,PMID_28373583,EXCLUDE
Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan,PMID_31987001,EXCLUDE
"MERS, SARS and other coronaviruses as causes of pneumonia",PMID_29052924,EXCLUDE
Simulating the SARS outbreak in Beijing with limited data,PMID_15019504,INCLUDE
Epidemiologic Clues to SARS Origin in China,PMID_15207054,INCLUDE
"Chemokine up-regulation in SARS-coronavirus–infected, monocyte-derived human dendritic cells",PMID_15860669,EXCLUDE
The experience of the 2003 SARS outbreak as a traumatic stress among frontline healthcare workers in Toronto: lessons learned,PMID_15306398,INCLUDE
Severe Acute Respiratory Syndrome Coronaviruses with Mutations in the E Protein Are Attenuated and Promising Vaccine Candidates,PMID_25609816,EXCLUDE
Transmission of infectious diseases during commercial air travel,PMID_15767002,EXCLUDE
Lethal Infection of K18- <i>hACE2</i> Mice Infected with Severe Acute Respiratory Syndrome Coronavirus,PMID_17079315,EXCLUDE
Structural insights into coronavirus entry,PMID_31522710,EXCLUDE
Short term outcome and risk factors for adverse clinical outcomes in adults with severe acute respiratory syndrome (SARS),PMID_12885985,INCLUDE
The 2003 SARS outbreak and its impact on infection control practices,PMID_16297415,EXCLUDE
Inhibition of Beta Interferon Induction by Severe Acute Respiratory Syndrome Coronavirus Suggests a Two-Step Model for Activation of Interferon Regulatory Factor 3,PMID_15681410,EXCLUDE
Coronavirus Pathogenesis and the Emerging Pathogen Severe Acute Respiratory Syndrome Coronavirus,PMID_16339739,EXCLUDE
Molecular Diagnosis of a Novel Coronavirus (2019-nCoV) Causing an Outbreak of Pneumonia,PMID_32031583,EXCLUDE
"Psychological Responses to Outbreak of Severe Acute Respiratory Syndrome: A Prospective, Multiple Time‐Point Study",PMID_15660679,INCLUDE
Role of fomites in SARS transmission during the largest hospital outbreak in Hong Kong,PMID_28727803,INCLUDE
Risk factors for chronic post-traumatic stress disorder (PTSD) in SARS survivors,PMID_21112450,INCLUDE
A new mouse-adapted strain of SARS-CoV as a lethal model for evaluating antiviral agents in vitro and in vivo,PMID_19853271,EXCLUDE
"Molecular epidemiology, evolution and phylogeny of SARS coronavirus",PMID_30844511,EXCLUDE
Learning from the Past: Possible Urgent Prevention and Treatment Options for Severe Acute Respiratory Infections Caused by 2019‐nCoV,PMID_32022370,EXCLUDE
Severe Acute Respiratory Syndrome Coronavirus Evades Antiviral Signaling: Role of nsp1 and Rational Design of an Attenuated Strain,PMID_17715225,EXCLUDE
Severe Acute Respiratory Syndrome: Temporal Stability and Geographic Variation in Case-Fatality Rates and Doubling Times,PMID_12967499,INCLUDE
Is there an ideal animal model for SARS?,PMID_16759866,EXCLUDE
Design of Wide-Spectrum Inhibitors Targeting Coronavirus Main Proteases,PMID_16128623,EXCLUDE
"Lessons from the History of Quarantine, from Plague to Influenza A",PMID_23343512,EXCLUDE
Characterization of severe acute respiratory syndrome coronavirus genomes in Taiwan: Molecular epidemiology and genome evolution,PMID_14983045,INCLUDE
Discovery of a novel coronavirus associated with the recent pneumonia outbreak in humans and its potential bat origin,DOI_0aa01a1ddc79,EXCLUDE
Subunit Vaccines Against Emerging Pathogenic Human Coronaviruses,PMID_32265848,EXCLUDE
Transmission of severe acute respiratory syndrome in dynamical small-world networks,PMID_15089332,INCLUDE
Bat Coronaviruses in China,PMID_30832341,EXCLUDE
Case fatality of SARS in mainland China and associated risk factors,PMID_19508439,INCLUDE
"Methods for Estimating the Case Fatality Ratio for a Novel, Emerging Infectious Disease",PMID_16076827,INCLUDE
"SARS Risk Perception, Knowledge, Precautions, and Information Sources, the Netherlands",PMID_15496256,EXCLUDE
<b>SARS-associated</b>Coronavirus Transmitted from Human to Pig,PMID_15757562,INCLUDE
Coronaviruses,PMID_21593585,EXCLUDE
"Perceived Threat, Risk Perception, and Efficacy Beliefs Related to SARS and Other (Emerging) Infectious Diseases: Results of an International Survey",DOI_e0893de631f4,EXCLUDE
The SARS epidemic in mainland China: bringing together all epidemiological data,PMID_19508441,INCLUDE
Nucleocapsid Protein Recruitment to Replication-Transcription Complexes Plays a Crucial Role in Coronaviral Life Cycle,PMID_31776274,EXCLUDE
Lessons from the Severe Acute Respiratory Syndrome Outbreak in Hong Kong,PMID_14519237,EXCLUDE
Infectious Disease Threats in the Twenty-First Century: Strengthening the Global Response,PMID_30984169,EXCLUDE
A compartmental model for the analysis of SARS transmission patterns and outbreak control measures in China,PMID_32287493,INCLUDE
A Double-Inactivated Severe Acute Respiratory Syndrome Coronavirus Vaccine Provides Incomplete Protection in Mice and Induces Increased Eosinophilic Proinflammatory Pulmonary Response upon Challenge,PMID_21937658,EXCLUDE
Receptor-binding domain of SARS-CoV spike protein induces long-term protective immunity in an animal model,PMID_17092615,EXCLUDE
Critical Role of Nosocomial Transmission in the Toronto SARS Outbreak,PMID_20369956,INCLUDE
Severe acute respiratory syndrome: report of treatment and outcome after a major outbreak,PMID_15115870,INCLUDE
"The Impacts on Health, Society, and Economy of SARS and H7N9 Outbreaks in China: A Case Comparison Study",PMID_30050581,INCLUDE
Multiple organ infection and the pathogenesis of SARS,PMID_16043521,EXCLUDE
Severe Acute Respiratory Syndrome Epidemic in Asia,PMID_14720403,INCLUDE
"Crisis Prevention and Management during SARS Outbreak, Singapore",PMID_15030714,INCLUDE
Global patterns in coronavirus diversity,PMID_28630747,EXCLUDE
Seasonality of infectious diseases and severe acute respiratory syndrome–what we don't know can hurt us,PMID_15522683,EXCLUDE
Psychological impact of severe acute respiratory syndrome on health workers in a tertiary hospital,PMID_15286063,INCLUDE
Structural model of the SARS coronavirus E channel in LMPG micelles,PMID_29474890,EXCLUDE
"A climatologic investigation of the SARS-CoV outbreak in Beijing, China",PMID_16679182,INCLUDE
Ultrastructural Characterization of SARS Coronavirus,PMID_15030705,INCLUDE
Prevalence of psychiatric morbidity and psychological adaptation of the nurses in a structured SARS caring unit during outbreak: A prospective and periodic assessment study in Taiwan,PMID_16460760,EXCLUDE
Aged BALB/c Mice as a Model for Increased Severity of Severe Acute Respiratory Syndrome in Elderly Humans,PMID_15827197,EXCLUDE
The ORF7b Protein of Severe Acute Respiratory Syndrome Coronavirus (SARS-CoV) Is Expressed in Virus-Infected Cells and Incorporated into SARS-CoV Particles,PMID_17079322,EXCLUDE
Demographic and attitudinal determinants of protective behaviours during a pandemic: A review,PMID_20109274,EXCLUDE
"Cluster of SARS among Medical Students Exposed to Single Patient, Hong Kong",PMID_15030696,INCLUDE
"Serological Responses in Patients with Severe Acute Respiratory Syndrome Coronavirus Infection and Cross-Reactivity with Human Coronaviruses 229E, OC43, and NL63",PMID_16275947,INCLUDE
Spatial epidemiology of networked metapopulation: an overview,PMID_32214746,EXCLUDE
Coronavirus envelope protein: current knowledge,PMID_31133031,EXCLUDE
"A Patient with Asymptomatic Severe Acute Respiratory Syndrome (SARS) and Antigenemia from the 2003–2004 Community Outbreak of SARS in Guangzhou, China",PMID_16758408,EXCLUDE
Influence of meteorological factors and air pollution on the outbreak of severe acute respiratory syndrome,PMID_17307207,INCLUDE
Serological assays for emerging coronaviruses: Challenges and pitfalls,PMID_24670324,INCLUDE
A simple approximate mathematical model to predict the number of severe acute respiratory syndrome cases and deaths,PMID_14573591,INCLUDE
"Risk Factors for SARS Transmission from Patients Requiring Intubation: A Multicentre Investigation in Toronto, Canada",PMID_20502660,INCLUDE
The crystal structures of severe acute respiratory syndrome virus main protease and its complex with an inhibitor,PMID_14585926,EXCLUDE
Outbreak of severe acute respiratory syndrome in Hong Kong Special Administrative Region: case report,PMID_12702616,INCLUDE
Viral evolution and the emergence of SARS coronavirus,PMID_15306390,EXCLUDE
Clathrin-Dependent Entry of Severe Acute Respiratory Syndrome Coronavirus into Target Cells Expressing ACE2 with the Cytoplasmic Tail Deleted,PMID_17522231,EXCLUDE
Mosaic Evolution of the Severe Acute Respiratory Syndrome Coronavirus,PMID_14671089,INCLUDE
SARS and New York's Chinatown: The politics of risk and blame during an epidemic of fear,PMID_17544189,EXCLUDE
Theory versus Data: How to Calculate R0?,PMID_17356693,EXCLUDE
Pathways of Cross-Species Transmission of Synthetically Reconstructed Zoonotic Severe Acute Respiratory Syndrome Coronavirus,PMID_18579604,EXCLUDE
"Potential Rapid Diagnostics, Vaccine and Therapeutics for 2019 Novel Coronavirus (2019-nCoV): A Systematic Review",PMID_32110875,EXCLUDE
An Overview of Severe Acute Respiratory Syndrome–Coronavirus (SARS-CoV) 3CL Protease Inhibitors: Peptidomimetics and Small Molecule Chemotherapy,PMID_26878082,EXCLUDE
Optimal and sub-optimal quarantine and isolation control in SARS epidemics,PMID_32288201,INCLUDE
Anti–spike IgG causes severe acute lung injury by skewing macrophage responses during acute SARS-CoV infection,PMID_30830861,EXCLUDE
"The Politics of Disease Epidemics: a Comparative Analysis of the SARS, Zika, and Ebola Outbreaks",PMID_32226719,EXCLUDE
"Recombination, Reservoirs, and the Modular Spike: Mechanisms of Coronavirus Cross-Species Transmission",PMID_19906932,EXCLUDE
Numerical study of SARS epidemic model with the inclusion of diffusion in the system,PMID_32287498,INCLUDE
Frequent Travelers and Rate of Spread of Epidemics,PMID_18252097,INCLUDE
"Ecology, evolution and classification of bat coronaviruses in the aftermath of SARS",DOI_6dcf086ec8b9,EXCLUDE
"Environmental factors on the SARS epidemic: air temperature, passage of time and multiplicative effect of hospital infection",PMID_16490124,INCLUDE
Screening of an FDA-Approved Compound Library Identifies Four Small-Molecule Inhibitors of Middle East Respiratory Syndrome Coronavirus Replication in Cell Culture,PMID_24841269,EXCLUDE
The Molecular Biology of Coronaviruses,PMID_16877062,EXCLUDE
Role of two-way airflow owing to temperature difference in severe acute respiratory syndrome transmission: revisiting the largest nosocomial severe acute respiratory syndrome outbreak in Hong Kong,PMID_21068029,INCLUDE
SARS-Coronavirus Open Reading Frame-9b Suppresses Innate Immunity by Targeting Mitochondria and the MAVS/TRAF3/TRAF6 Signalosome,PMID_25135833,EXCLUDE
Severe Acute Respiratory Syndrome Coronavirus Viroporin 3a Activates the NLRP3 Inflammasome,DOI_bf2f3135efb9,EXCLUDE
Lung pathology of severe acute respiratory syndrome (SARS): a study of 8 autopsy cases from Singapore,PMID_14506633,EXCLUDE
Animal models and vaccines for SARS-CoV infection,PMID_17499378,EXCLUDE
Possible role of an animal vector in the SARS outbreak at Amoy Gardens,PMID_12932393,EXCLUDE
Severe Acute Respiratory Syndrome Coronavirus Envelope Protein Ion Channel Activity Promotes Virus Fitness and Pathogenesis,PMID_24788150,EXCLUDE
Impact on health care workers employed in high-risk areas during the Toronto SARS outbreak,PMID_18222131,INCLUDE
Genomic characterization and infectivity of a novel SARS-like coronavirus in Chinese bats,PMID_30209269,EXCLUDE
"Update: Outbreak of Severe Acute Respiratory Syndrome—Worldwide, 2003",PMID_12709450,INCLUDE
An immunosuppressed Syrian golden hamster model for SARS-CoV infection,PMID_18760437,EXCLUDE
SARS Transmission among Hospital Workers in Hong Kong,PMID_15030698,INCLUDE
The chronology of the 2002–2003 SARS mini pandemic,PMID_15531249,INCLUDE
Wet markets—a continuing source of severe acute respiratory syndrome and influenza?,PMID_14738798,EXCLUDE
Human Coronavirus 229E Remains Infectious on Common Touch Surface Materials,PMID_26556276,EXCLUDE
Comparisons of Computed Mobile Phone Induced SAR in the SAM Phantom to That in Anatomically Correct Models of the Human Head,PMID_29515260,EXCLUDE
Severe acute respiratory syndrome (SARS): epidemiology and clinical features,PMID_15254300,EXCLUDE
"The SARS-coronavirus papain-like protease: Structure, function and inhibition by designed antiviral compounds",PMID_25554382,EXCLUDE
Modeling and public health emergency responses: Lessons from SARS,PMID_21420657,INCLUDE
S Protein of Severe Acute Respiratory Syndrome-Associated Coronavirus Mediates Entry into Hepatoma Cell Lines and Is Targeted by Neutralizing Antibodies in Infected Patients,PMID_15163706,EXCLUDE
SAR and QSAR modeling of a large collection of LD50 rat acute oral toxicity data,PMID_33430989,EXCLUDE
"Inactivation of the coronavirus that induces severe acute respiratory syndrome, SARS-CoV",PMID_15350737,EXCLUDE
Viral Load Distribution in SARS Outbreak,PMID_16485474,INCLUDE
SARS Transmission and Hospital Containment,PMID_15109403,INCLUDE
The international response to the outbreak of SARS in 2003,PMID_15306399,EXCLUDE
Reverse genetics with a full-length infectious cDNA of severe acute respiratory syndrome coronavirus,PMID_14569023,EXCLUDE
Epidemiology of severe acute respiratory syndrome (SARS): adults and children,PMID_15531250,EXCLUDE
The experience of SARS-related stigma at Amoy Gardens,PMID_15913861,EXCLUDE
Declining Emergency Department Visits and Costs During the Severe Acute Respiratory Syndrome (SARS) Outbreak,PMID_16440068,INCLUDE
Population-based Post-crisis Psychological Distress: An Example From the SARS Outbreak in Taiwan,PMID_20654792,INCLUDE
Detecting Human-to-Human Transmission of Avian Influenza A (H5N1),PMID_18252106,EXCLUDE
A Mouse-Adapted SARS-Coronavirus Causes Disease and Mortality in BALB/c Mice,PMID_17222058,EXCLUDE
Time-varying transmission dynamics of Novel Coronavirus Pneumonia in China,DOI_9640935ac9c3,EXCLUDE
Bats and Coronaviruses,PMID_30634396,EXCLUDE
The epidemiology of the outbreak of severe acute respiratory syndrome (SARS) in Hong Kong – what we do know and what we don't,PMID_15473139,EXCLUDE
Towards the sequential assimilation of SAR-derived water stages into hydraulic models using the Particle Filter: proof of concept,DOI_153b66089756,EXCLUDE
Weather: driving force behind the transmission of severe acute respiratory syndrome in China?,PMID_17445010,INCLUDE
Temporal Variability and Social Heterogeneity in Disease Transmission: The Case of SARS in Hong Kong,PMID_19696879,INCLUDE
Has SARS infected the property market? Evidence from Hong Kong,PMID_32287489,INCLUDE
Psychological responses of pregnant women to an infectious outbreak: A case-control study of the 2003 SARS outbreak in Hong Kong,PMID_17084150,EXCLUDE
Vaccine Efficacy in Senescent Mice Challenged with Recombinant SARS-CoV Bearing Epidemic and Zoonotic Spike Variants,PMID_17194199,EXCLUDE
High Fidelity of Murine Hepatitis Virus Replication Is Decreased in nsp14 Exoribonuclease Mutants,PMID_17804504,EXCLUDE
Bat origin of human coronaviruses,PMID_26689940,EXCLUDE
Survival of surrogate coronaviruses in water,PMID_19246070,EXCLUDE
Middle East respiratory syndrome (MERS),PMID_25089913,EXCLUDE
Molecular modelling of S1 and S2 subunits of SARS coronavirus spike glycoprotein,PMID_14511651,EXCLUDE
SARS-related Perceptions in Hong Kong,PMID_15757557,EXCLUDE
Factors associated with transmission of severe acute respiratory syndrome among health-care workers in Singapore,PMID_15473141,INCLUDE
Impact of Severe Acute Respiratory Syndrome (SARS) Outbreaks on the Use of Emergency Department Medical Resources,PMID_15984818,INCLUDE
Potent cross-reactive neutralization of SARS coronavirus isolates by human monoclonal antibodies,PMID_17620608,INCLUDE
"Respiratory Infections during SARS Outbreak, Hong Kong, 2003",PMID_16318726,EXCLUDE
Identification of Oxidative Stress and Toll-like Receptor 4 Signaling as a Key Pathway of Acute Lung Injury,PMID_18423196,EXCLUDE
Identification of phenanthroindolizines and phenanthroquinolizidines as novel potent anti-coronaviral agents for porcine enteropathogenic coronavirus transmissible gastroenteritis virus and human severe acute respiratory syndrome coronavirus,PMID_20727913,EXCLUDE
Viral Pathogens and Acute Lung Injury: Investigations Inspired by the SARS Epidemic and the 2009 H1N1 Influenza Pandemic,PMID_23934716,EXCLUDE
What we have learnt from SARS epidemics in China,PMID_16916828,EXCLUDE
Cynomolgus Macaque as an Animal Model for Severe Acute Respiratory Syndrome,PMID_16605302,EXCLUDE
SARS Epidemiology Modeling,DOI_d6dd2dc937c2,INCLUDE
Assimilating SAR-derived water level data into a hydraulic model: a case study,DOI_fcc13a3875dd,EXCLUDE
Prevalence and Genetic Diversity of Coronaviruses in Bats from China,PMID_16840328,EXCLUDE
Structures of Two Coronavirus Main Proteases: Implications for Substrate Binding and Antiviral Drug Design,PMID_18094151,EXCLUDE
Mathematical Modeling of the Effectiveness of Facemasks in Reducing the Spread of Novel Influenza A (H1N1),PMID_20161764,EXCLUDE
Crystal Structure of the Severe Acute Respiratory Syndrome (SARS) Coronavirus Nucleocapsid Protein Dimerization Domain Reveals Evolutionary Linkage between Corona- and Arteriviridae,PMID_16627473,EXCLUDE
Coronavirus Papain-like Proteases Negatively Regulate Antiviral Innate Immune Response through Disruption of STING-Mediated Signaling,PMID_22312431,EXCLUDE
Severe acute respiratory syndrome coronavirus papain-like protease: Structure of a viral deubiquitinating enzyme,PMID_16581910,EXCLUDE
Host cell proteases: Critical determinants of coronavirus tropism and pathogenesis,PMID_25445340,EXCLUDE
MurineHepatitis Virus Strain 1 Produces a Clinically Relevant Model of Severe Acute Respiratory Syndrome in A/J Mice,PMID_17041219,EXCLUDE
Two Years after Pandemic Influenza A/2009/H1N1: What Have We Learned?,PMID_22491771,EXCLUDE
Human Monoclonal Antibody Combination against SARS Coronavirus: Synergy and Coverage of Escape Mutants,PMID_16796401,EXCLUDE
The battle against <scp>SARS</scp> and <scp>MERS</scp> coronaviruses: Reservoirs and Animal Models,PMID_30891557,EXCLUDE
Media Effects on Students during SARS Outbreak,PMID_15890131,EXCLUDE
Severe Acute Respiratory Syndrome (SARS) in Singapore: Clinical Features of Index Patient and Initial Contacts,PMID_12781012,INCLUDE
"Estimating Variability in the Transmission of Severe Acute Respiratory Syndrome to Household Contacts in Hong Kong, China",PMID_17493952,INCLUDE
Ventilation control for airborne transmission of human exhaled bio-aerosols in buildings,PMID_30116608,EXCLUDE
Human immunopathogenesis of severe acute respiratory syndrome (SARS),PMID_17374415,EXCLUDE
Analysis of Spatiotemporal Characteristics of Pandemic SARS Spread in Mainland China,PMID_27597972,INCLUDE
The SARS coronavirus nucleocapsid protein – Forms and functions,PMID_24418573,EXCLUDE
One severe acute respiratory syndrome coronavirus protein complex integrates processive RNA polymerase and exonuclease activities,PMID_25197083,EXCLUDE
The psychology behind the masks: Psychological responses to the severe acute respiratory syndrome outbreak in different regions,PMID_32313436,EXCLUDE
HIV protease inhibitor nelfinavir inhibits replication of SARS-associated coronavirus,PMID_15144898,EXCLUDE
SARS: Systematic Review of Treatment Effects,PMID_16968120,EXCLUDE
Anatomy of the Epidemiological Literature on the 2003 SARS Outbreaks in Hong Kong and Toronto: A Time-Stratified Review,DOI_d61276c09cfb,EXCLUDE
Ethics and SARS: lessons from Toronto,PMID_14656848,EXCLUDE
Proteolytic activation of the SARS-coronavirus spike protein: Cutting enzymes at the cutting edge of antiviral research,PMID_24121034,EXCLUDE
Detection of SARS Coronavirus in Patients with Suspected SARS,PMID_15030700,INCLUDE
Genomic characterisation of the severe acute respiratory syndrome coronavirus of Amoy Gardens outbreak in Hong Kong,PMID_14654320,INCLUDE
Precautionary Behavior in Response to Perceived Threat of Pandemic Influenza,PMID_18252100,EXCLUDE
SARS: epidemiology,PMID_15018127,EXCLUDE
Lipid rafts are involved in SARS-CoV entry into Vero E6 cells,PMID_18279660,EXCLUDE
Memory T cell responses targeting the SARS coronavirus persist up to 11 years post-infection,PMID_26954467,EXCLUDE
SARS-like WIV1-CoV poised for human emergence,PMID_26976607,EXCLUDE
Probable Secondary Infections in Households of SARS Patients in Hong Kong,PMID_15030689,INCLUDE
Broad-spectrum coronavirus antiviral drug discovery,PMID_30849247,EXCLUDE
Severe acute respiratory syndrome vaccine development: experiences of vaccination against avian infectious bronchitis coronavirus,PMID_14676007,EXCLUDE
SARS: How a global epidemic was stopped,DOI_8da2e05ecf1b,EXCLUDE
Scale Mixture of Gaussian Modelling of Polarimetric SAR Data,DOI_e0222d17f1dc,EXCLUDE
Identification of Residues of SARS-CoV nsp1 That Differentially Affect Inhibition of Gene Expression and Antiviral Signaling,PMID_23658627,EXCLUDE
Clinical presentations and outcome of severe acute respiratory syndrome in children,PMID_12767737,INCLUDE
"Bat-to-human: spike features determining ‘host jump’ of coronaviruses SARS-CoV, MERS-CoV, and beyond",PMID_26206723,EXCLUDE
A model of the ACE2 structure and function as a SARS-CoV receptor,PMID_14715271,EXCLUDE
Repurposing of Clinically Developed Drugs for Treatment of Middle East Respiratory Syndrome Coronavirus Infection,PMID_24841273,EXCLUDE
Model of a Putative Pore: The Pentameric α-Helical Bundle of SARS Coronavirus E Protein in Lipid Bilayers,PMID_16698774,EXCLUDE
"SARS Outbreak, Taiwan, 2003",PMID_15030683,INCLUDE
Spatial dynamics of an epidemic of severe acute respiratory syndrome in an urban area,PMID_17242832,INCLUDE
SARS related preventive and risk behaviours practised by Hong Kong-mainland China cross border travellers during the outbreak of the SARS epidemic in Hong Kong,PMID_15547057,EXCLUDE
Incorporating media data into a model of infectious disease transmission,PMID_30716139,EXCLUDE
Recent Developments in Anti-Severe Acute Respiratory Syndrome Coronavirus Chemotherapy,PMID_21765859,EXCLUDE
"The Coronaviruses of Animals and Birds: Their Zoonosis, Vaccines, and Models for SARS-CoV and SARS-CoV2",PMID_33195600,EXCLUDE
The impact of the Severe Acute Respiratory Syndrome on hotels: a case study of Hong Kong,PMID_32287842,EXCLUDE
"Inhibition of severe acute respiratory syndrome coronavirus replication in a lethal SARS-CoV BALB/c mouse model by stinging nettle lectin, Urtica dioica agglutinin",PMID_21338626,EXCLUDE
